undisturbeddeloite hyderbad,https://www2.deloitte.com/ui/en/footerlinks/office-locator/hyderabad/deloitte-towers.html,[],['40 6762 1000']
capgemini hyderbad,https://www.capgemini.com/in-en/careers/lets-connect/our-offices/capgemini-hyderabad/,[],[]
ibm hyderabad,"https://www.glassdoor.co.in/Photos/IBM-Hyderabad-Office-Photos-EI_IE354.0,3_IL.4,13_IM1076.htm",[],[]
deloite hyderbad,https://www2.deloitte.com/ui/en/footerlinks/office-locator/hyderabad/deloitte-towers.html,[],['40 6762 1000']
ibm hyderbad,"https://www.glassdoor.co.in/Photos/IBM-Hyderabad-Office-Photos-EI_IE354.0,3_IL.4,13_IM1076.htm",[],[]
ibm hyderbad,"https://www.glassdoor.co.in/Photos/IBM-Hyderabad-Office-Photos-EI_IE354.0,3_IL.4,13_IM1076.htm",[],[]
deloite hyderbad,https://www2.deloitte.com/ui/en/footerlinks/office-locator/hyderabad/deloitte-towers.html,[],['40 6762 1000']
tcs,https://www.tcs.com/,[],['100 2024']
ibm,https://www.ibm.com/in-en,[],[]
cognigant,https://www.cognizant.com/in/en,['inquiry@cognizant.com'],[]
